id,type,name,slug,gender,house,species,wiki
4a7478e4-307a-428b-9af2-c502f996a05c,spell,Age Line,age-line,,,,https://harrypotter.fandom.com/wiki/Age_Line
c32dd238-7249-4fd4-ba62-561f608f13dc,spell,Alarte Ascendare,alarte-ascendare,,,,https://harrypotter.fandom.com/wiki/Alarte_Ascendare
7faec3dc-6584-42b5-b9d4-2c9c24649277,spell,Albus Dumbledore's forceful spell,albus-dumbledore-s-forceful-spell,,,,https://harrypotter.fandom.com/wiki/Albus_Dumbledore's_forceful_spell
06489a0e-0645-4992-9fc2-a681af07cbed,spell,Amplifying Charm,amplifying-charm,,,,https://harrypotter.fandom.com/wiki/Amplifying_Charm
dbc5d99e-1c1b-47a2-aa6b-8858a2d33fe0,spell,Anapneo,anapneo,,,,https://harrypotter.fandom.com/wiki/Anapneo
82716bd3-7049-48bf-bd5f-515b1c99b04d,spell,Animagus Spell,animagus-spell,,,,https://harrypotter.fandom.com/wiki/Animagus_Spell
15ba0157-c158-44eb-a2ed-a0f4021bff96,spell,Animation Charm,piertotum-locomotor,,,,https://harrypotter.fandom.com/wiki/Piertotum_Locomotor
b9fc1d01-32c1-4226-b403-4ee3da75dda9,spell,Anteoculatia,anteoculatia,,,,https://harrypotter.fandom.com/wiki/Anteoculatia
9410a647-172d-4b11-a2b2-3775990cab0d,spell,Anti-Apparition Charm,anti-apparition-charm,,,,https://harrypotter.fandom.com/wiki/Anti-Apparition_Charm
062cbea8-431d-439c-87ff-5ab0e5134753,spell,Anti-Cheating Spell,anti-cheating-spell,,,,https://harrypotter.fandom.com/wiki/Anti-Cheating_Spell
fc2e2004-3c44-4263-96d6-ac2e822f31c7,spell,Anti-Disapparition Jinx,anti-disapparition-jinx,,,,https://harrypotter.fandom.com/wiki/Anti-Disapparition_Jinx
7fdd30ae-6edb-4912-83ad-c38e9bf8ec3f,spell,Anti-intruder jinxes,anti-intruder-jinx,,,,https://harrypotter.fandom.com/wiki/Anti-intruder_jinx
be81f6d5-d992-44e8-a5fb-00b8cf975523,spell,Antonin Dolohov's curse,antonin-dolohov-s-curse,,,,https://harrypotter.fandom.com/wiki/Antonin_Dolohov's_curse
3aaea6de-9a06-469f-93e1-acff2546a6d2,spell,Apparition/Disapparition,apparition,,,,https://harrypotter.fandom.com/wiki/Apparition
c413ceb0-070f-43c3-9a24-d5a95fc23167,spell,Aqua Eructo,aqua-eructo,,,,https://harrypotter.fandom.com/wiki/Aqua_Eructo
259965bd-f904-478a-aa0a-fd50ef9a8ad7,spell,Arania Exumai,arania-exumai,,,,https://harrypotter.fandom.com/wiki/Arania_Exumai
46478dfa-d55a-4b92-97d1-0df1b1da7863,spell,Arrow Shooting Spell,arrow-shooting-spell,,,,https://harrypotter.fandom.com/wiki/Arrow_Shooting_Spell
0fdc2946-e589-4df9-8207-648192a15b20,spell,Ascension Charm,ascendio,,,,https://harrypotter.fandom.com/wiki/Ascendio
aa01cbf6-4e01-48c3-b837-4d3a5dbbc7c1,spell,Avenseguim,avenseguim,,,,https://harrypotter.fandom.com/wiki/Avenseguim
b90bb984-6aec-47af-b077-184549d452ca,spell,Avifors Spell,avifors-spell,,,,https://harrypotter.fandom.com/wiki/Avifors_Spell
24a69be6-f5db-415e-927c-c344d125bead,spell,Babbling Curse,babbling-curse,,,,https://harrypotter.fandom.com/wiki/Babbling_Curse
f37f90b5-d4cf-4d17-85f3-968e241bf965,spell,Badgering,badgering,,,,https://harrypotter.fandom.com/wiki/Badgering
f48f96d6-5ebf-4866-af58-f10e8587a185,spell,Bandaging Charm,bandaging-charm,,,,https://harrypotter.fandom.com/wiki/Bandaging_Charm
37b178f3-3625-44df-b180-2e3a2d82eea4,spell,Banishing Charm,banishing-charm,,,,https://harrypotter.fandom.com/wiki/Banishing_Charm
6f9c0117-68ea-47f9-80f7-36bb9be8da7c,spell,Bat-Bogey Hex,bat-bogey-hex,,,,https://harrypotter.fandom.com/wiki/Bat-Bogey_Hex
c2778ce8-f22a-455e-b51f-c6e8b945b233,spell,Baubillious,baubillious,,,,https://harrypotter.fandom.com/wiki/Baubillious
a005cf19-f035-4062-993d-381fdb27d95a,spell,Bedazzling Hex,bedazzling-hex,,,,https://harrypotter.fandom.com/wiki/Bedazzling_Hex
c634af73-23c5-4d10-8bf3-13383bfb2bee,spell,Bewitched Snowballs,bewitched-snowballs,,,,https://harrypotter.fandom.com/wiki/Bewitched_Snowballs
fc8c6d2c-12a5-4d97-b3ec-62cb3645251a,spell,Bird-Conjuring Charm,bird-conjuring-charm,,,,https://harrypotter.fandom.com/wiki/Bird-Conjuring_Charm
2cf7a4a1-e32c-482a-b747-7f06bafbe0e5,spell,Blasting Curse,blasting-curse,,,,https://harrypotter.fandom.com/wiki/Blasting_Curse
1633e605-a568-495e-9fda-767df060f696,spell,Bluebell Flames,bluebell-flames,,,,https://harrypotter.fandom.com/wiki/Bluebell_Flames
627141f6-b3b0-4b78-896b-420fb390a83a,spell,Blue Sparks,blue-sparks,,,,https://harrypotter.fandom.com/wiki/Blue_sparks
226fb3ad-aa83-49ef-aa2b-911391707ba7,spell,Boggart-Banishing Spell,boggart-banishing-spell,,,,https://harrypotter.fandom.com/wiki/Boggart-Banishing_Spell
b1fff606-68cb-4aa6-b2d2-7b1e05467db5,spell,Bombarda Maxima,bombarda-maxima,,,,https://harrypotter.fandom.com/wiki/Bombarda_Maxima
7680fb28-5927-4304-947f-5a007627cf08,spell,Bombardment Spell,bombardment-spell,,,,https://harrypotter.fandom.com/wiki/Bombardment_Spell
